	dim1	dim2
c000001	-1.9075462555496567	-3.691654680128398
c000027	-1.9700461854220839	-3.7973413973714507
c000835	-2.088827938997239	-0.35237876647055555
c001545	-1.9037337823076632	3.8384094970080582
c001546	-1.9159075264285639	-1.4127922909825827
c001142	-1.514986332628859	-0.7589422013472281
c000837	-1.9494348475205643	-1.4732772148799744
c000591	-2.075610757663938	-3.3024751280219338
c001524	-2.3700930883286273	-3.424445664526001
GB_GCA_016288255_1	-2.7939703084453678	-3.4617998832425583
c005595	-2.5107512786659574	-3.402405855645027
c006991	-2.6244359114072697	-3.603379852541383
c010369	-2.7873047581989416	-3.724181568525239
c012371	-2.6185124078048942	-3.3121307472235033
c016727	-2.66760863384047	-3.333493178968543
c016728	-2.573189009396689	-3.493884183014627
c014470	-2.5255692057121952	-3.384144740768301
c010371	-2.684279860515913	-3.056899108523721
c016739	-2.7814190356972635	-3.461766077180211
GB_GCA_017620795_1	-2.7029729637596844	-2.9990040321253786
c029141	-2.703742102593825	-2.752911275381699
c036985	-2.7909243739427443	-2.7828886258036007
c042525	-2.8716389027150178	-3.165073388593009
c042526	-2.6800605129049218	-3.076622566635704
c039682	-2.705320422239019	-3.1781742419232555
c034370	-2.6027099041990773	-2.843192330032136
c031730	-2.7676270475527995	-3.0335986273747046
c026616	-2.683036459881388	-3.298593219200595
c024088	-2.767248038690369	-3.279352055683168
c021564	-2.8128494700322575	-3.2451847810409604
c014476	-2.6116814260840724	-3.4530524014384865
c012376	-2.753531354591834	-3.3643985957844
c003436	-2.5888153366255704	-3.4620119821647743
c001526	-2.2485599090442006	-3.540292966618433
c001522	-0.22117739667209105	-3.683805913241518
c000845	-1.293056854103624	-0.051728723807916946
c001579	-1.8883700641027596	-0.5158625405334694
c002793	-0.41450718737295533	-3.254058605793279
c004639	-1.8228378272873618	-0.6841489278059788
c007313	-2.039619576355355	1.8804904939794322
c008941	-2.071838242588291	1.1973901534134335
c010769	-1.5042045581394712	1.2663346627865826
c010770	-2.283183470895834	1.356148402370753
c005878	-2.0988065700064076	1.5549279808966434
c004641	-2.0972603891860424	1.0684540442416874
c007319	-1.59166676816994	-0.03720621640134509
c007320	-1.4854503856744476	0.6508109486795749
c005882	-2.0930205104401636	1.2347431429643276
c002795	-1.3948101807741817	0.5289397654920914
GB_GCA_002748415_1	-1.5209265312341163	-0.3728370297794605
c005887	-0.8780609991628491	0.4402774102813194
c005888	-1.6207541284197098	-2.1139729965178207
c003630	-1.9708450423637358	0.8842516795443969
c001160	-1.9399858652023838	-0.44341780911253614
c000602	-1.8983077754656739	-0.2587120703775638
c000422	-1.921980076028159	-3.4480362016978856
c000420	-1.1420546038337474	0.809649735731907
c000279	-2.024311812176414	0.8343444300803119
c000581	2.0736802270777686	4.194676893514171
c000813	2.2057495416215227	4.204811919253136
c001101	2.279448178650691	4.203311838408534
c001477	1.7723102342376602	4.403125817320157
c001979	2.3059443902837433	4.110226377897349
RS_GCF_008807075_1	2.4153303992421593	4.114712075867414
c005493	2.210086083888165	4.1814391667744015
c005494	2.4778996794350525	4.15510860890452
c003350	2.4346205523651205	4.134408559945646
c002594	2.4243992034765047	4.278630243083803
c000410	-2.0968322307105836	-3.7529765368585344
c000127	-0.1583982010894156	-3.704485527632264
c000201	-0.9376821690163736	-1.9212760291842073
c002263	-1.8484054310957145	-3.5542196887837223
c003851	0.2666770467928867	-3.9420408708789285
c007793	-0.6045631951296738	5.60547004640394
c009493	0.015168013034376033	0.12563879661598917
c015591	1.3212794725145136	3.2746142165081227
c017891	1.9323251332844817	-2.27953524631958
c020279	1.9238352410124662	-2.4822672126356196
c022751	2.092976742992111	-2.1723388180854872
c025313	1.932398355582172	-2.512247082400465
c027849	2.077010245974224	-2.564145253490083
c030369	-2.599396545396219	-3.9578203676343735
c030370	1.8510475519647351	-2.4842509437494766
GB_GCA_016718825_1	2.2700298339599723	-0.08232524097115256
GB_GCA_013153515_1	0.7271226909440422	-3.8146648222386856
c006266	0.15887830723036397	-3.725165553464392
c002275	-1.4842659336341406	0.5874525372893264
c000908	-0.9488239949589569	-0.19615986413598469
c001721	-1.5542607555928671	-3.3978227261130565
c009808	-1.5628923860421526	-3.420778219594961
c011769	0.8006048605543081	2.6148152594163903
c025773	0.8445403562522005	-1.5287424233807474
c036033	0.3902765627116446	0.09311624092230632
c049999	-1.2316444152150612	-2.6055043842040253
c059567	1.4323206620309	1.4631895083263016
c059568	0.483557342928488	3.5733248210709565
c056282	0.21593053113056526	4.866995207885714
c056283	1.1471957878079941	1.212637086539526
c059573	0.48989554436043575	2.4411184685589387
c066489	0.31563443489973314	3.399496029387895
c066490	0.16039621207636676	4.512148820309341
RS_GCF_003991585_1	1.0871976605797746	-1.5993054424339843
c047040	0.5239197053770498	5.253068582268659
c044118	-0.6756517889893547	2.161593524982883
c041330	-0.3655420442428245	3.2869515913372935
c038630	0.036554883834394085	2.502578269459178
c033448	0.40144801869223945	-0.03809354975675751
c030868	-0.007897935536730386	4.6084477889068385
c028316	0.5860932212542729	-0.24350366411247715
c023234	0.8037445561644367	-2.3052175406109368
c025770	0.8984448663128557	-1.9032594691765015
c018372	0.42816282705614334	-3.4345560297044986
c018373	0.6092055590068838	-2.9528943962072827
c023245	0.6794406631682502	-3.1697571222296363
c033489	0.689708233349307	-2.7942233096172724
