	dim1	dim2
c038693	1.3349060553921799	-1.3554058861729488
c050129	1.5963554964772761	-0.21310434541842366
c056451	1.405456230953043	1.3594093330331751
c063221	1.7230667895139498	-0.9532666077179462
RS_GCF_900109735_1	2.1156410715939757	1.3790260777987013
c079933	2.18709675098812	-1.60521922579265
c082925	1.4536541371245844	-2.1226604686542423
c091417	2.1596131916110064	1.9062209367159575
c102621	2.3097286234099323	1.8274090077301828
GB_GCA_001830395_1	2.2742317546029067	0.6672304970914575
c109119	2.261915841783181	1.6742460376696053
c110435	2.3979075210908936	1.8705961297691376
c112677	2.6922781296356297	1.8119122891411195
c113633	2.3578277128695984	1.5583477708525837
c115219	2.9445536452957666	1.7075445801144413
c115220	2.7010184461601505	1.7174795535577254
c114474	2.5288674373380053	1.9376591212407275
c111610	2.458333337248179	1.648286639039027
c107692	2.4091235640978654	1.7882264463579483
c104396	2.127674080045628	1.555270872557683
c100674	2.327637563068786	1.962841692208885
c098496	2.177813353883648	1.8138981787338335
c096268	2.3378885494611956	1.9251656010337568
c093898	2.215565173714315	1.923160064892195
c088724	2.099105060012097	1.8282001479106036
c085876	2.098031790722457	1.8402910779103108
c073554	1.793527404600529	1.4659330219919842
c070184	2.095048256142058	-0.6119710632733399
GB_GCA_001593685_1	1.59169375792533	-0.9423867078810166
c059772	1.4428064610564106	1.719069886465727
c053232	1.174175182287804	0.13690191779927902
c047154	1.6481123687840136	-1.3156333772272466
c044222	1.41227177051346	-2.272440495512677
c041424	1.1151245811785506	0.13674847975065765
c038696	0.6423378996263698	-2.6096744262006855
c036089	0.5347135319442018	-0.2866560078653713
c041431	0.9717857673699859	-1.807633109217858
c044235	1.12148772957287	-1.5496706816653953
GB_GCA_011322755_1	1.0997857986408455	-1.7767495554173598
c050161	0.9625432683027154	-1.7185362708979754
c050162	0.781638641847168	0.6771337866330286
c038700	0.7747360988432537	-0.16914650288007432
c036091	0.9444926028945131	0.3083224942512082
c041439	0.6331865331033966	-0.07415084537548064
c041440	0.8040259590262943	0.0687305944367929
c038704	0.7382743368082068	1.2754827843168652
c028340	0.7769183460872547	0.4992012181428631
c028341	-0.30264496728943063	1.2775408602295586
c036101	-0.7250637063510791	3.6575344831248398
c044265	-0.8744119403823979	3.7425956655820376
c047217	-0.7043994793425714	3.5352658637601673
c050227	-0.7863986733774172	3.852879285501353
c053373	-0.9153517234185276	2.060158059220483
c056637	-0.9814041149742029	1.7484906554095725
c073891	-0.6046080286409209	2.242700356547603
c073892	-0.5916968942574512	2.009923478152555
c070508	-1.065212631435667	1.5295151205480446
c067006	-1.0301026228889356	2.103803629511269
c063496	-0.4949458992089077	2.0853391461072923
c060006	-0.582734559956602	2.121516283090569
c041454	-0.13703962635613015	2.1163185880833524
c038712	-0.9189088859666686	2.1288266069087767
c033502	-0.08580454414944891	2.7657504480830357
c030908	0.3152111292746942	3.77047132064491
c023244	0.5092405178485063	0.06042055511458161
c013846	0.6054702685458101	1.3287821071655985
c009812	0.4023510797902369	-0.7638693504855953
c009813	-1.1036448586593417	-2.385458435292524
c011775	0.1606645765132722	-3.604070101581891
c016047	-0.16374860286893086	-4.541426297397515
c028383	0.9067588933377217	-3.750649672586137
GB_GCA_018063245_1	0.8987582172597025	-3.991702277997766
c044331	0.25203278403970425	1.3752816349838157
c050325	0.2698033945414964	1.7202890066247813
c053465	-0.0958840070413946	-0.11801421561466081
c067095	-0.5616236982694119	0.19000308978423683
c089143	0.189278983222487	-0.37070444266076363
c091829	0.4770315435221349	0.1941413542182744
GB_GCA_002469865_1	1.7143474314652898	3.5733057471395333
RS_GCF_000374145_1	-0.6311602946098815	3.163337048282803
c104763	-0.49308900478877854	1.3891789366874452
c106473	-0.1876815318734544	2.218354014381483
c115963	0.16691158343695361	2.5474947537757737
c116561	0.41090607925055256	3.82489397032801
c117117	-0.2792525404709858	1.9356128016308116
c118169	0.35696779690725877	0.9053464181710523
c119085	0.5153252265541636	0.9317133429021405
c119533	-0.1758517017322695	2.103154476346648
c119534	0.501369776900395	1.129636107004279
c118634	-0.2917492265338076	2.318463795717145
c117654	0.277015826207159	0.9867021957278405
c115320	-0.3406524556713502	1.9330613893119073
c114592	-0.5811957188900924	1.814593619523399
c113786	0.15057595719597516	2.3896316977870504
c112874	-0.2840142387561863	2.9239413848000795
c111856	0.5503046000506551	3.06373779293831
c110740	-0.5208040967994211	1.5984683486092377
c109460	0.1715791545449334	1.7045597731133322
c108056	-0.2641983548868519	2.6154163228889433
c102980	0.044885930722899356	3.0041677978563635
GB_GCA_003250135_1	-0.8261505985597996	-1.948283928700873
RS_GCF_016623495_1	-0.6955621991562363	-0.6947251540684033
c096675	0.17496215849898145	3.2836716146749345
GB_GCA_016764455_1	0.1742714138917819	-2.32681324021039
c101035	-0.06321128638665678	1.2797297556079474
c104781	0.29241065205970596	1.7095847416162095
GB_GCA_002365175_1	0.06836193417531417	-0.8597549492849413
c108073	0.024840826355721414	3.357317932017721
c109485	0.12933837513914156	2.4135342475619246
c111911	0.26770417411632397	2.940256262259861
c111912	0.302934363555541	3.1488733990809132
c110780	0.36289318282861455	1.225289547373172
c102992	0.8025176407865626	-0.31403492179427017
c094298	0.3783405165960122	1.124609888449385
c091832	0.9684394620563284	-3.318725041717541
c089146	0.553155719924291	-0.7244898570700373
c083390	0.3769780673230744	1.7479895432707306
c083391	0.09388858999346252	-1.2423167658235512
c094305	0.9375691929741791	3.636391176228492
RS_GCF_001890385_1	1.475538603071715	1.7271472490145565
c106521	0.8669445396005377	1.627974011140276
c109515	1.2449100203660095	-0.26614793541557813
c110813	1.2961711771845488	1.3595316620598208
c110814	1.5537655899559404	-0.217418831278154
c108098	1.0958539046526279	0.7430344703492454
c104814	1.5026239231456129	-0.509282412002236
c103024	1.258060490516049	0.06359635048619397
c101062	0.8347159209269729	1.3681415552930418
c098916	0.5476082993717888	-0.19785605258257308
c091836	0.8955689467786115	-0.2714190124139963
GB_GCA_005144965_1	0.2615728216334798	-0.34057025489251663
c086312	1.0407528676952025	-2.5747408357431247
c077272	1.2512526411536176	-0.733080268518592
c073994	0.41917732444927414	-0.4172997607795406
c070612	-0.17951467436556492	1.0688813141571452
c063600	0.22149421216448437	2.720544979038582
c060106	0.03948991796425507	-0.8092732931238076
c056738	0.688232459081976	-1.642906238070922
c047304	0.38818988581535857	1.8973604074468946
c041518	0.04716969750048359	3.64974400036003
c038766	0.4724513001620805	0.8277425045262602
c036148	-0.006159308982996747	-3.8322207681345284
c033552	0.5716277639507086	-3.7475012778671273
c025830	1.2568571675798739	-3.2216307289036825
c023278	0.4516677536177378	-4.183626778990852
c020798	0.5588837291380269	-4.608209143574996
c018400	0.8694051261174526	-4.706084091748681
c006484	0.34541417594608076	-2.653292328309621
c003967	-1.6567159484308132	1.3936416310093678
c003015	-0.9333513722928036	-2.563876006236669
c001255	-1.4393273873416077	-2.728833506244623
c002991	-1.309678976839797	-0.5064175719423099
c003897	-0.8470366603822452	-0.1587621828513734
c003898	-1.5025891690531938	0.09421664770432069
c002284	-1.0917436063652923	-2.4269699015517676
c001712	-1.5710178657622813	-3.322449054885677
c000869	-1.4911489044796906	-2.9517447724689267
